signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.13121668647512613	0.12327840808277783	0.0079382783923483	87	0.9845390679927639
SBS2	0	0.0022218006198159407	-0.0022218006198159407	84	0.8190648974453345
SBS3	0.37100172403199616	0.16971982795393564	0.20128189607806052	135	0.058189254491663574
SBS5	0.20054048933872298	0.17797806965297297	0.022562419685750013	104	0.49227536074564615
SBS6	0	0.022603984085192198	-0.022603984085192198	72	0.40601883894420626
SBS9	0.03106096574606236	0.01929257584916357	0.011768389896898792	94.5	0.6224387042528375
SBS10a	0	0	0	86	NA
SBS10b	0	0.0015716061478581733	-0.0015716061478581733	84	0.8190648974453345
SBS10c	0	0	0	86	NA
SBS10d	0	0	0	86	NA
SBS11	0	0.0015381584875536092	-0.0015381584875536092	84	0.8190648974453345
SBS13	0	0.005822616030219769	-0.005822616030219769	80	0.6207325437496108
SBS14	0	0.018926583544821306	-0.018926583544821306	80	0.6207325437496108
SBS15	0	0.056186688724840735	-0.056186688724840735	66	0.29893734036087033
SBS18	0.05318355201957092	0.03973757054042645	0.01344598147914447	104	0.42002263125932887
SBS20	0	0.006069709237044285	-0.006069709237044285	84	0.8190648974453345
SBS21	0	0.02177886724109883	-0.02177886724109883	74	0.4496048745091688
SBS25	0	0.01051640840606389	-0.01051640840606389	78	0.5546866338937917
SBS26	0	0.03337620661295215	-0.03337620661295215	70	0.3668153245755391
SBS30	0	0.00985834138118997	-0.00985834138118997	78	0.5546866338937917
SBS31	0	0.02083144758563234	-0.02083144758563234	72	0.40601883894420626
SBS32	0	0.006574743906522579	-0.006574743906522579	78	0.5546866338937917
SBS35	0	0.003939765327869331	-0.003939765327869331	82	0.7028359926639689
SBS36	0	0.0015262927566594665	-0.0015262927566594665	84	0.8190648974453345
SBS39	0	0.014214284696625211	-0.014214284696625211	76	0.4986119212439295
SBS44	0	0	0	86	NA
SBS84	0	0.007322688248553153	-0.007322688248553153	82	0.7028359926639689
SBS85	0.07787001273448116	0.03217518127510612	0.045694831459375036	115	0.2142117620715387
SBS86	0	0.0014397182120324376	-0.0014397182120324376	84	0.8190648974453345
SBS87	0	0.028668166944974673	-0.028668166944974673	70	0.3668153245755391
SBS90	0	0.01836727438983148	-0.01836727438983148	84	0.8190648974453345
