signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0	0.021139261666560178	-0.021139261666560178	20	0.4943175586621158
SBS2	0	0	0	26	NA
SBS3	0.3491582640857942	0.2610488521890191	0.08810941189677512	34	0.5028858177645235
SBS5	0.09688877782517125	0.23481346112457704	-0.1379246832994058	14	0.301224154462
SBS6	0.08812598166720662	0.018434497413724292	0.06969148425348232	48	0.01617748015824583
SBS9	0.10862017507178733	0.12534534492566063	-0.016725169853873303	27	0.9625090508275798
SBS10a	0	0	0	26	NA
SBS10b	0	0	0	26	NA
SBS10c	0	0.0026409570268312002	-0.0026409570268312002	25	0.8897069355331012
SBS10d	0	0	0	26	NA
SBS11	0	0	0	26	NA
SBS13	0	0.002775640868345428	-0.002775640868345428	25	0.8897069355331012
SBS14	0	0	0	26	NA
SBS15	0	0.00835564489777165	-0.00835564489777165	23	0.6779698974417385
SBS18	0	0.02698360867367774	-0.02698360867367774	18	0.4015175891576894
SBS20	0	0	0	26	NA
SBS21	0	0	0	26	NA
SBS25	0	0.0071684567752153565	-0.0071684567752153565	24	0.7645033815358455
SBS26	0	0	0	26	NA
SBS30	0.04638141326918288	0.01267270554621868	0.0337087077229642	36	0.20450108960067323
SBS31	0	0	0	26	NA
SBS32	0	0.003099877462261729	-0.003099877462261729	25	0.8897069355331012
SBS35	0	0	0	26	NA
SBS36	0	0	0	26	NA
SBS39	0.06552544698070945	0.03072993957325656	0.03479550740745288	33.5	0.43363511619663575
SBS44	0	0.005522156002237702	-0.005522156002237702	24	0.7645033815358455
SBS84	0	0	0	26	NA
SBS85	0.109546638758705	0.10085078379558021	0.008695854963124791	30	0.7474042438479971
SBS86	0	0	0	26	NA
SBS87	0	0.002905641758166493	-0.002905641758166493	25	0.8897069355331012
SBS90	0	0.002518646075817609	-0.002518646075817609	25	0.8897069355331012
