signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.1173894682464251	0.12510280039337437	-0.0077133321469492755	113	0.4208325292846631
SBS2	0	0.002388435666302137	-0.002388435666302137	136.5	0.7199178531944465
SBS3	0.13527405568403753	0.19587602770897386	-0.060601972024936335	99	0.21506140323513193
SBS5	0.02609189536140208	0.20681439212257288	-0.1807224967611708	54	0.0085505095722845
SBS6	0.07222269415561199	0.011660311414349513	0.06056238274126247	167.5	0.19274892930012624
SBS9	0.021969337830514444	0.02000098149211705	0.0019683563383973944	139	0.9807567423431935
SBS10a	0	0	0	140	NA
SBS10b	0	0.0016894766089475364	-0.0016894766089475364	136.5	0.7199178531944465
SBS10c	0	0	0	140	NA
SBS10d	0	0	0	140	NA
SBS11	0	0.00165352037412013	-0.00165352037412013	136.5	0.7199178531944465
SBS13	0.008591287728121308	0.004755836880065024	0.003835450848056284	152	0.41742991911910854
SBS14	0.07279268475481206	0.007607357478590794	0.06518532727622126	175.5	0.013590054123921788
SBS15	0.1542419681031833	0.03340834596114672	0.12083362214203658	182	0.08316909351152064
SBS18	0.07494337709808728	0.034921152540750254	0.040022224557337026	144.5	0.8851371468031053
SBS20	0	0.006524937429822604	-0.006524937429822604	136.5	0.7199178531944465
SBS21	0.042986274083141124	0.01588968431963154	0.027096589763509583	165	0.20678322137549215
SBS25	0	0.011305139036518683	-0.011305139036518683	126	0.40460902535446813
SBS26	0.02869557478315155	0.030857696521872043	-0.002162121738720494	156	0.4793729758349656
SBS30	0.010294563514559216	0.008796168369731355	0.001498395144827861	148	0.6433571984123168
SBS31	0	0.02239380615455476	-0.02239380615455476	115.5	0.24695835738776817
SBS32	0	0.007067849699511774	-0.007067849699511774	126	0.40460902535446813
SBS35	0	0.00423524772745953	-0.00423524772745953	133	0.5786967554069624
SBS36	0	0.0016407647134089273	-0.0016407647134089273	136.5	0.7199178531944465
SBS39	0	0.015280356048872104	-0.015280356048872104	122.5	0.3425931539091093
SBS44	0	0	0	140	NA
SBS84	0.019006182735401052	0.004545807888499452	0.0144603748469016	156	0.18545271777605019
SBS85	0.024110434956397468	0.038155995026817636	-0.014045560070420168	122	0.5500031646656836
SBS86	0	0.00154769707793487	-0.00154769707793487	136.5	0.7199178531944465
SBS87	0	0.03081827946584778	-0.03081827946584778	112	0.20951239838168204
SBS90	0	0.019744819969068832	-0.019744819969068832	136.5	0.7199178531944465
