signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10330673754678338	0.10085151115827576	0.0024552263885076198	15	0.9438837528855819
SBS2	0	0	0	16	NA
SBS3	0.20228267185680845	0.29581911779478176	-0.0935364459379733	9	0.39215686274509803
SBS5	0.20055778456458398	0.18068557659762977	0.019872207966954214	19	0.7248781281409789
SBS6	0	0.007587649235786613	-0.007587649235786613	15	0.8596837951986662
SBS9	0	0.09904432127887197	-0.09904432127887197	9	0.298963154209506
SBS10a	0	0	0	16	NA
SBS10b	0	0	0	16	NA
SBS10c	0	0.007951661266869497	-0.007951661266869497	14	0.6995916043003889
SBS10d	0	0	0	16	NA
SBS11	0	0	0	16	NA
SBS13	0	0	0	16	NA
SBS14	0	0	0	16	NA
SBS15	0	0	0	16	NA
SBS18	0.13197885110156932	0.07877375483470608	0.05320509626686323	24	0.27023139583876127
SBS20	0	0	0	16	NA
SBS21	0	0	0	16	NA
SBS25	0	0	0	16	NA
SBS26	0	0	0	16	NA
SBS30	0.09847600447953875	0.005485264052717786	0.09299074042682096	31	0.001715603091679391
SBS31	0	0.009429568923637659	-0.009429568923637659	15	0.8596837951986662
SBS32	0	0.004844396918672235	-0.004844396918672235	15	0.8596837951986662
SBS35	0	0.00850607881089361	-0.00850607881089361	14	0.6995916043003889
SBS36	0	0	0	16	NA
SBS39	0	0	0	16	NA
SBS44	0.05288935476124876	0.010119775230916641	0.042769579530332114	23	0.1598519021022952
SBS84	0	0	0	16	NA
SBS85	0.09588231744780956	0.05868382324847162	0.03719849419933794	22	0.4090958850700526
SBS86	0	0	0	16	NA
SBS87	0	0	0	16	NA
SBS90	0	0	0	16	NA
