signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.052238640104236705	0.14093922454004792	-0.08870058443581122	100	0.05265627536615531
SBS2	0	0.0025141428066338283	-0.0025141428066338283	166.5	0.6653123239921239
SBS3	0.2544588086025379	0.1708376373874836	0.0836211712150543	202	0.39822564295152113
SBS5	0.15175864092707228	0.18656292589708104	-0.03480428497000876	150	0.5683610626389077
SBS6	0.018255419354805364	0.021254540565000424	-0.0029991212101950597	164	0.7766249633096967
SBS9	0.008572769574268784	0.023070255219206946	-0.014497485644938161	161	0.6783851818989242
SBS10a	0	0	0	171	NA
SBS10b	0	0.0017783964304710909	-0.0017783964304710909	166.5	0.6653123239921239
SBS10c	0	0	0	171	NA
SBS10d	0	0	0	171	NA
SBS11	0	0.0017405477622317157	-0.0017405477622317157	166.5	0.6653123239921239
SBS13	0.016897524440044463	0.002586704456290788	0.014310819983753675	203.5	0.04118731214668088
SBS14	0	0.021416923484929372	-0.021416923484929372	157.5	0.40686904296731996
SBS15	0	0.06357967408337241	-0.06357967408337241	126	0.09275898540685659
SBS18	0.09870947979258657	0.027185905873245843	0.07152357391934072	219.5	0.11675551834493635
SBS20	0	0.006868355189286951	-0.006868355189286951	166.5	0.6653123239921239
SBS21	0.02205009627992314	0.019422116443366878	0.002627979836556261	169	0.9442435662542539
SBS25	0.007002141449384937	0.010241744432007443	-0.0032396029826225053	175	0.8449957749010947
SBS26	0.01723927792648699	0.03368482586890947	-0.016445547942422478	159	0.6349045480922264
SBS30	0.013002815798766046	0.008075877294796693	0.004926938503969353	177	0.7586714675162618
SBS31	0.009303645893447728	0.02136893245108318	-0.012065286557635453	161	0.6783851818989242
SBS32	0.007672620541664659	0.005622642186986553	0.0020499783546781064	177	0.7586714675162618
SBS35	0.011625293104985952	0.0017047966093028325	0.00992049649568312	186	0.2623599971487808
SBS36	0	0.0017271207509567655	-0.0017271207509567655	166.5	0.6653123239921239
SBS39	0.031694611248372355	0.008577966861040343	0.023116644387332012	196.5	0.2066470632673528
SBS44	0	0	0	171	NA
SBS84	0	0.00828619986020488	-0.00828619986020488	162	0.5111560978794741
SBS85	0.03214929398602833	0.03699129473403244	-0.004842000748004109	168	0.9384115150152801
SBS86	0	0.0016291548188788105	-0.0016291548188788105	166.5	0.6653123239921239
SBS87	0.033840231980343555	0.0244255023897584	0.009414729590585154	182	0.6646188481282304
SBS90	0.0877547554180837	0	0.0877547554180837	190	0.04542140181287773
